newsid,newspaper,title,link,comment,likeit,content,date,category
0003572751,파이낸셜뉴스,"마이크로소프트 ""자사 서비스 이용자들에 해킹감지 공지한다""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=014&aid=0003572751,0.0,0.0,-,2016-01-01,105
0002657109,서울신문,올해 첫 유성우 4일 밤 절정 '소원 빌어봐요',http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=081&aid=0002657109,0.0,0.0,-,2016-01-01,105
0003606373,머니투데이,"콘텐츠, 모바일에 맞춰 ""줄이고 잘라라""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=008&aid=0003606373,0.0,0.0,-,2016-01-01,105
0003514369,한국경제,스마트카·로봇·드론…CES 2016 달군다,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=015&aid=0003514369,0.0,0.0,-,2016-01-01,105
0003514355,한국경제,"[2016년 빛낼 '핀테크 스타트업 톱10'] 핀테크 개척자들 ""인터넷은행 시대, 실력 제대로 보여주겠다""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=015&aid=0003514355,0.0,0.0,-,2016-01-01,105
0003658117,아시아경제,"우버, 출시 5년 만에 승차 10억회 돌파",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=277&aid=0003658117,0.0,0.0,-,2016-01-01,105
0000747390,YTN TV,"술 마시면 더 생각나는 담배, 이유 있었다",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=052&aid=0000747390,0.0,0.0,-,2016-01-01,105
0003606352,머니투데이,"""로봇따라 재활운동""…싱가포르 노인복지 로봇 개발",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=008&aid=0003606352,0.0,0.0,-,2016-01-01,105
0003572609,파이낸셜뉴스,샤오미 홍미노트3 고급판 출시? 사양 소폭 개선,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=014&aid=0003572609,0.0,0.0,-,2016-01-01,105
0000309684,조선비즈,"세계 최대 메신저 왓츠앱, 새해 앞두고 대규모 접속장애",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000309684,0.0,0.0,-,2016-01-01,105
0001816359,뉴스1,"지갑없이 스마트폰으로 살아보니…""안되는게 없네""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=421&aid=0001816359,0.0,0.0,-,2016-01-01,105
0001816362,뉴스1,"폰 하루 껐더니 온종일 욕바가지…""어딨냐?"" 난리난 페북·카톡",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=421&aid=0001816362,0.0,0.0,-,2016-01-01,105
0003658078,아시아경제,인도 스마트폰 가입자 10억명 돌파…중국에 이어 두번째,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=277&aid=0003658078,0.0,0.0,-,2016-01-01,105
0000035660,한겨레21,10만원에 가상현실 띄워봐요,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=036&aid=0000035660,0.0,0.0,-,2016-01-01,105
0002089157,ZDNet Korea,"美집단소송 ""iOS9설치 아이폰 느려져""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=092&aid=0002089157,0.0,0.0,-,2016-01-01,105
0002089156,ZDNet Korea,"MS, 정부주도해킹 사용자에게 통보",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=092&aid=0002089156,0.0,0.0,-,2016-01-01,105
0003606314,머니투데이,"새해 지상파 VOD, 케이블서 못본다",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=008&aid=0003606314,0.0,0.0,-,2016-01-01,105
0008089216,연합뉴스,휴대전화에 밀려 갈수록 쪼그라드는 유선전화,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0008089216,0.0,0.0,-,2016-01-01,105
0002089155,ZDNet Korea,"애플, 이탈리아 탈세 혐의…4천억 납부",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=092&aid=0002089155,0.0,0.0,-,2016-01-01,105
0003658031,아시아경제,"中 화웨이 작년 매출 35.3% 증가…""삼성전자 위협""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=277&aid=0003658031,0.0,0.0,-,2016-01-01,105
0002656872,서울신문,[천문학+] 우주에 관한 놀라운 '진실 7가지​',http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=081&aid=0002656872,0.0,0.0,-,2016-01-01,105
0010268336,KBS TV,[취재후] 나이 들수록 가속도 붙는 시간 붙잡는 법,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=056&aid=0010268336,0.0,0.0,-,2016-01-01,105
0003658002,아시아경제,[스페이스]2016년 첫 혜성…카탈리나,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=277&aid=0003658002,0.0,0.0,-,2016-01-01,105
0003572478,파이낸셜뉴스,"삼성 6인치폰 갤럭시A9, 中서 57만원에 출시",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=014&aid=0003572478,0.0,0.0,-,2016-01-01,105
0003657981,아시아경제,날로 진화하는 '악성코드'의 습격,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=277&aid=0003657981,0.0,0.0,-,2016-01-01,105
0000747961,YTN TV,음성·문자 요금 초과 알림…달라지는 통신 서비스,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=052&aid=0000747961,0.0,0.0,-,2016-01-02,105
0000103636,JTBC TV,제주 전역 무료 와이파이 서비스…이통사 관계없이 이용,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=437&aid=0000103636,0.0,0.0,-,2016-01-02,105
0000577294,MBC TV,"맞춤 의학 시대, '유전자 의학'의 현재와 미래",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=214&aid=0000577294,0.0,0.0,-,2016-01-02,105
0000365725,아이뉴스24,"애플, 中유니온페이 제휴로 시장장악력 커질까?",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000365725,0.0,0.0,-,2016-01-02,105
0003606484,머니투데이,"61kg '가벼운' TV, 이후 10년…CES 혁신상 휩쓴 삼성",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=008&aid=0003606484,0.0,0.0,-,2016-01-02,105
0008090411,연합뉴스,'CDMA 개발 주역' 경상현 초대 정보통신부 장관 별세(종합),http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0008090411,0.0,0.0,-,2016-01-02,105
0008090364,연합뉴스,<위클리 스마트> 2016년 주목할 모바일 앱 트렌드,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0008090364,0.0,0.0,-,2016-01-02,105
0002434799,전자신문,백투더퓨처2처럼…공중부양 호버보드 등장,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=030&aid=0002434799,0.0,0.0,-,2016-01-02,105
