company,local,regno,url
(사)경찰공제회,11,서울080219,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울080219
(사)대한소방공제회,11,서울100004,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울100004
(사)한국무역협회,11,서울100040,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울100040
(유)금강신우개발,45,전북080013,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북080013
(유)남경,45,전북080016,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북080016
(유)다홍건설,45,전북110001,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북110001
(유)대금,45,전북150001,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북150001
(유)덕림종합건설,45,전북150003,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북150003
(유)동부종합건설,45,전북080010,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북080010
(유)동부종합건설,45,전북110006,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북110006
(유)동양개발,41,경기150014,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기150014
(유)동운종합건설,45,전북100006,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북100006
(유)동운종합건설,45,전북140013,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북140013
(유)동운종합건설,36,세종130012,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=36&ed_regno=세종130012
(유)동창개발,29,광주140006,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=29&ed_regno=광주140006
(유)무왕건설,45,전북140020,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북140020
(유)새만금레저개발,45,전북080019,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북080019
(유)서도종합건설,45,전북110003,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북110003
(유)서웅사,45,전북080009,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북080009
(유)성현종합건설,45,전북140011,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북140011
(유)성현종합건설,45,전북140011,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북140011
(유)세호종합건설,45,전북080018,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북080018
(유)신한,45,전북140008,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북140008
(유)엔도건설,45,전북120015,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북120015
(유)영주건설,46,전남080027,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=46&ed_regno=전남080027
(유)우신토건,45,전북140007,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북140007
(유)우정토건,45,전북120010,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북120010
(유)이감건축사사무소,29,광주090001,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=29&ed_regno=광주090001
(유)이코종합건설,45,전북080003,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북080003
(유)이화종합건설,45,전북120002,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북120002
(유)임광건설,44,충남150021,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=44&ed_regno=충남150021
(유)임광토건,45,전북110004,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북110004
(유)정담회계법인,11,서울110079,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울110079
(유)제인건설,45,전북140002,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북140002
(유)제인건설,45,전북140002,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북140002
(유)초원건설,46,전남140002,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=46&ed_regno=전남140002
(유)케이엠,45,전북110008,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북110008
(유)태륭종합건설,45,전북080002,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북080002
(유)태림건설,45,전북110005,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북110005
(유)한미종합건설,45,전북140005,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북140005
(유)한미종합건설,45,전북080026,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북080026
(유)한백종합건설,45,전북100004,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북100004
(유)휴머스건설,45,전북140021,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북140021
(유)휴머스건설,45,전북140021,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북140021
(재)우체국시설관리단,11,서울150006,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울150006
(재)학산문화재단,28,인천110026,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=28&ed_regno=인천110026
(주) 선공,30,대전110007,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=30&ed_regno=대전110007
(주) 시문종합건축사사무소,26,부산080040,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=26&ed_regno=부산080040
(주) 신 선,30,대전110013,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=30&ed_regno=대전110013
(주) 엔티디산업,11,서울080503,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울080503
(주) 태광에셋,11,서울080512,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울080512
(주) 화엄씨앤디,11,서울080496,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울080496
(주)21세기,44,충남140010,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=44&ed_regno=충남140010
(주)LF 네트웍스,11,서울130023,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울130023
(주)LSD,48,경남100005,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=48&ed_regno=경남100005
(주)SKY개발,41,경기120013,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기120013
(주)가도건설,29,150002,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=29&ed_regno=150002
(주)가산종합건설,41,경기140032,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기140032
(주)가온디자인종합건축사사무소,44,충남100001,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=44&ed_regno=충남100001
(주)가온플래닝,26,부산110005,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=26&ed_regno=부산110005
(주)가원건설,45,전북140010,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북140010
(주)가원건설,45,전북140010,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북140010
(주)가원건설,45,전북140010,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북140010
(주)가은종합건설,11,서울160013,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울160013
(주)가은종합건설,11,서울130041,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울130041
(주)가인종합건축사사무소,41,경기120063,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기120063
(주)가현,48,경남080122,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=48&ed_regno=경남080122
(주)가화토건,41,경기126019,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기126019
(주)간삼건축종합건축사사무소,11,서울140054,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울140054
(주)감우종합건설,43,충북130002,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=43&ed_regno=충북130002
(주)갑을건설,26,부산120042,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=26&ed_regno=부산120042
(주)강경씨앤씨,27,대구110012,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=27&ed_regno=대구110012
(주)강민종합건설,48,경남130011,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=48&ed_regno=경남130011
(주)강민종합건설,44,충남100024,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=44&ed_regno=충남100024
(주)강산산업개발,28,인천080052,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=28&ed_regno=인천080052
(주)강산종합건설,41,경기136008,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기136008
(주)강앤파트너스,11,서울100076,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울100076
(주)개성건설,41,경기110033,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기110033
(주)개성상회,41,경기100043,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기100043
(주)거성도시개발,11,서울130004,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울130004
(주)거성산업,28,인천080017,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=28&ed_regno=인천080017
(주)거일종합건설,48,경남150010,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=48&ed_regno=경남150010
(주)거창물류,41,경기130024,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기130024
(주)거홍건설,41,경기160027,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기160027
(주)거홍건영,11,서울120016,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울120016
(주)건생씨앤디,11,서울100062,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울100062
(주)건설기술원,48,경남120047,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=48&ed_regno=경남120047
(주)건양건설,44,충남140003,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=44&ed_regno=충남140003
(주)건양건축사사무소,41,경기120052,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기120052
(주)건영,11,서울080230,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울080230
(주)건일토건,48,경남130008,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=48&ed_regno=경남130008
(주)건축사사무소 길인,47,경북100008,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=47&ed_regno=경북100008
(주)건축사사무소신건축개발,11,서울100027,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울100027
(주)건호공영,30,대전120005,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=30&ed_regno=대전120005
(주)경기개발산업,41,경기090112,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기090112
(주)경기산업개발,41,경기110046,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기110046
(주)경동건설,41,경기150009,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기150009
(주)경동건설,42,강원120002,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=42&ed_regno=강원120002
(주)경동소재,26,부산110028,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=26&ed_regno=부산110028
(주)경린,41,경기116002,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기116002
(주)경민엔지니어링,41,경기140036,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기140036
(주)경민엔지니어링건축사사무소,41,경기110067,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기110067
(주)경방,11,서울080338,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울080338
(주)경보종합건설,26,부산110025,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=26&ed_regno=부산110025
(주)경부종합물류,41,경기130018,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기130018
(주)경안개발,41,경기096035,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기096035
(주)경연종합건설,28,인천140010,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=28&ed_regno=인천140010
(주)경우크린텍,47,경북100002,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=47&ed_regno=경북100002
(주)경인자기관리부동산투자회사,11,서울110107,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울110107
(주)경일이엔지,28,인천120014,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=28&ed_regno=인천120014
(주)경일종합건설,28,인천130015,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=28&ed_regno=인천130015
(주)경제발전연구원,41,경기120039,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기120039
(주)경진엔지니어링,48,경남100003,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=48&ed_regno=경남100003
(주)경향신문사,11,서울080354,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울080354
(주)계룡건기,44,충남120011,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=44&ed_regno=충남120011
(주)고려디앤씨,48,경남080027,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=48&ed_regno=경남080027
(주)고명건설,29,광주140005,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=29&ed_regno=광주140005
(주)고성개발,41,경기100060,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기100060
(주)고인돌,43,충북140008,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=43&ed_regno=충북140008
(주)고인돌,11,서울130007,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울130007
(주)골드게이트씨앤씨,41,경기146003,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기146003
(주)골프존카운티,11,서울140004,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울140004
(주)공정씨앤에이,11,서울080355,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울080355
(주)관석,30,대전120003,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=30&ed_regno=대전120003
(주)관전종합건설,11,서울110080,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울110080
(주)광교AMC,41,경기110043,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기110043
(주)광동산업개발,41,경기100099,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기100099
(주)광명디더블유파트너스,41,경기150001,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기150001
(주)광명인베스트먼트,11,서울150092,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울150092
(주)광백개발,11,서울080312,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울080312
(주)광백개발,11,서울110062,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울110062
(주)광백건설,41,경기140001,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기140001
(주)광백건설,41,경기140001,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기140001
(주)광성토건,48,경남080015,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=48&ed_regno=경남080015
(주)광양토건,11,서울130014,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울130014
(주)광원건설엔지니어링,44,충남150004,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=44&ed_regno=충남150004
(주)광일건설,26,부산110038,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=26&ed_regno=부산110038
(주)구일건축사사무소,28,인천080058,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=28&ed_regno=인천080058
(주)국기,47,경북150011,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=47&ed_regno=경북150011
(주)국도테크노타운,11,서울080447,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울080447
(주)국제일호디앤씨,11,서울080511,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울080511
(주)국진종합건설,50,제주140001,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=50&ed_regno=제주140001
(주)국토개발,41,경기080222,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기080222
(주)그린플러스종합건설,11,서울110111,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울110111
(주)근린이앤씨,46,전남120005,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=46&ed_regno=전남120005
(주)근명건설,41,경기150106,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기150106
(주)근복공영,11,서울110103,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울110103
(주)근우종합건설,42,강원130002,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=42&ed_regno=강원130002
(주)글로리디앤씨,27,대구110006,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=27&ed_regno=대구110006
(주)글로벌아이엔씨,11,서울080494,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울080494
(주)글로벌종합건설,41,경기120024,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기120024
(주)글로스타,11,서울140023,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울140023
(주)글로스타개발,11,서울110078,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울110078
(주)금도건설,45,전북100009,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=45&ed_regno=전북100009
(주)금빛자갈,11,서울160015,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울160015
(주)금산종합건설,28,인천080010,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=28&ed_regno=인천080010
(주)금송디앤씨,30,대전150007,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=30&ed_regno=대전150007
(주)금영씨엔씨,41,경기100110,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기100110
(주)금오종합건설,26,부산110009,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=26&ed_regno=부산110009
(주)금진시앤디,28,인천120031,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=28&ed_regno=인천120031
(주)금홍,27,대구150006,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=27&ed_regno=대구150006
(주)기린음악권리출판사,11,서울080249,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=11&ed_regno=서울080249
(주)기림종합건설,41,경기120066,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기120066
(주)기범,41,경기150062,http://nsdi.go.kr/?menuno=2775&devAct=view&sido_cd=41&ed_regno=경기150062
