regno,year,business,benefit,land_width,build_width,nsdi_type,company_name,date1,date2,date3
서울080219,2015,1480,258,853,"2,594.3",A,동우토건㈜,2014.05.30,2015.01.23,2015.02.27
서울080219,2014,1479,21,853,"2,594.3",A,둥우토건㈜,2014.05.30,,2014.05.23
서울080219,2013,4123,0,"1,004","9,968",A,(주)금성백조주택,2013.08.26,2013.12.26,
서울080219,2012,1489,0,329,"2,054",A,㈜파라다이스글로벌,2011.11.24,2013.02.08,2013.02.08
서울080219,2010,96000,0,"2,237","34,474",A,삼환기업 등,2008.09.04,2011.06.03,2011.06.03
서울100004,2015,0,260,0,0,A,중흥종합건설,2007.09.07,2008.10.24,2008.10.24
서울100004,2015,9242,0,0,0,A,고덕종합건설,2014.04.30,2015.09.30,
서울100004,2014,12400,2970,"1,238","9,543",A,중흥종합건설㈜,2007.09.07,2008.10.24,2008.10.24
서울100004,2014,8400,0,"2,238","7,994",A,(주)고덕종합건설,2014.04.30,,
서울100004,2013,0,440,0,0,A,중흥종합건설,2007.09.07,2008.10.24,2008.10.24
서울100004,2012,8,530,0,0,A,중흥종합건설,2007.09.07,2008.10.24,2012.12.20
서울100004,2010,12400,2090,"1,238","9,543",A,중흥종합건설,2007.09.07,2008.10.24,
서울100040,2015,0,284,"1,457","24,200",A,화성산업㈜,2009.08.13,2012.02.09,2012.02.09
서울100040,2015,0,0,"2,680","37,406",A,"㈜서희건설, 금성건설㈜",2010.05.11,2012.10.18,2012.10.18
서울100040,2015,0,2712,"148,784","133,184",A,현대건설 컨소시움,2013.05.06,2014.09.17,2014.01.02
서울100040,2014,0,817,"1,457","24,200",A,화성산업㈜,2009.08.13,2012.02.09,2012.02.09
서울100040,2014,10,1283,"2,680","37,406",A,(주)서희건설금성건설㈜,2010.05.11,2012.10.18,2012.10.18
서울100040,2014,130886,118630,"148,784","133,184",A,현대건설컨소시엄,2013.05.06,2014.09.17,2014.01.02
서울100040,2013,0,913,"2,680","37,573",A,화성산업(주),2009.08.13,2012. 2. 9,2012. 2. 9
서울100040,2013,51,4221,"1,457","24,196",A,"㈜서희건설,금성건설(주)",2010.05.11,2012.10.18,2012.10.18
서울100040,2013,72668,0,0,0,A,"현대건설,컨소시움",2013.05.06,,
서울100040,2012,11589,588,"2,680","37,573",A,희성산업㈜,2009.08.13,2012.02.09,2012.02.09
서울100040,2012,30274,3269,"1,457","24,196",A,㈜서희건설금성건설㈜,2010.05.11,2012.10.18,2012.10.18
서울100040,2010,36400,0,"1,458","24,195.88",A,화성산업,2009.08.13,,
서울100040,2010,49898,0,"2,680","37,573.47",A,서희건설 등,2010.05.11,,
전북080016,2009,4191,14073,"6,194.4","2,606.44",C,(주)우미,2008.11.09,2009.04.20,2009.04.20
전북110001,2015,0,386,14,46,C,다홍건설,2010.08.26,2011.04.15,2015.06.08
전북110001,2015,0,3861,542,"2,882",C,다홍건설,2014.04.10,2015.02.10,2015.02.11
전북110001,2015,0,2231,288,"2,706",C,경원종합건설,2014.04.14,2015.02.06,2015.02.07
전북110001,2015,0,2890,286,"1,374",C,경원종합건설,2014.04.10,2015.02.23,2015.02.24
전북110001,2015,0,330,137,474,C,태왕종합건설,2015.04.20,2015.12.07,2015.12.17
전북110001,2014,0,40,31,529,C,다홍건설,2010.08.06,2011.04.15,2014.05.09
전북110001,2014,0,1329,496,"2,242",C,(주)다홍건설,2014.04.10,,
전북110001,2014,0,719,144,693,C,(유)정원종합건설,2014.04.14,,
전북110001,2014,0,1489,298,"1,374",C,(유)정원종합건설,2014.04.10,,
전북110001,2011,5000,1238,749,"3,781",C,일준빌딩신축건축토목공사,2010.08.16,2011.04.15,2011.04.19
전북140013,2015,5558,10362,"1,071","5,198",C,디엔에스,2014.07.25,2015.04.28,2015.05.20
전북140013,2014,4406,2952,0,"5,521",A,동운종합건설,2014.07.25,2015.04.30,2014.07.21
전북080019,2009,22468,28597,"3,420","13,023",A,(주)케이케이건설,2009.06.01,2010.05.30,2009.06.01
전북110003,2015,2500,80,300,"1,200",C,해명건설,2014.08.10,2015.05.05,2015.05.07
전북110003,2015,140,798,0,0,C,서도종합건설,2014.03.05,2014.11.15,2014.02.11
전북110003,2015,40,30,0,0,C,서도종합건설,2014.03.05,2014.11.15,2014.04.18
전북110003,2015,207,7288,250,"2,000",C,서도종합건설,2014.07.25,2015.05.14,2014.07.06
전북110003,2015,3177,5787,750,"3,500",C,서도종합건설,2014.11.11,2015.09.10,2014.11.25
전북110003,2014,4898,6303,838,"4,016",C,㈜서도,2013.07.22,2014.04.30,2013.06.03
전북110003,2014,5257,5292,830,"4,702",C,(주)서도,2013.08.20,2014.05.30,2013.07.10
전북110003,2014,5703,158,966,"4,747",C,(주)서도,2013.08.10,2014.09.30,2013.07.12
전북110003,2014,4000,5400,780,"3,469",C,(유)서도종합건설,2014.01.07,2014.10.15,2013.11.15
전북110003,2014,7500,8303,"1,271","4,923",C,(유)서도종합건설,2014.03.05,2014.10.15,2014.02.11
전북110003,2014,8400,4543,"1,274","4,944",C,(유)서도종합건설,2014.03.05,2014.10.15,2014.04.18
전북110003,2014,6039,2321,884,"4,347",C,(유)서도종합건설,2014.07.25,,2014.07.06
전북110003,2014,7000,277,931,"4,551",C,(유)서도종합건설,2014.11.11,,2014.11.15
전남080027,2014,0,15,0,40,A,(유)영주건설,2009.01.08,2009.12.14,
전남080027,2014,0,0,0,33,A,(유)영주건설,2009.01.08,2009.12.14,
전남080027,2014,0,30,0,215.31,A,(유)영주건설,2009.01.08,2009.12.14,
전남080027,2014,0,0,0,215.31,A,(유)영주건설,2009.01.08,2009.12.14,
전남080027,2014,0,50,0,297.13,A,(유)영주건설,2009.01.08,2009.12.14,
